user_id,item_id,cat_id,seller_id,brand_id,time_stamp,action_type,age_range,gender
234512,179830,1208,546,2276,1111,2,5,0
217494,646334,1208,1304,2276,1111,2,4,1
217494,646334,1208,1304,2276,1111,2,4,1
278823,18090,1208,1304,2276,1111,2,6,1
278823,18090,1208,1304,2276,1111,2,6,1
278823,18090,1208,1304,2276,1111,2,6,1
278823,18090,1208,1304,2276,1111,2,6,1
271127,539608,1208,422,2276,1111,2,4,2
131687,717816,629,3912,2276,1010,2,4,0
333647,1014969,1213,4144,2276,812,2,4,0
333647,417530,1213,4144,2276,812,2,4,0
333647,1041773,267,4144,2276,812,2,4,0
241784,325774,1028,3912,2276,1111,2,5,1
217844,526817,1208,4144,2276,1002,2,3,1
217844,179830,1208,546,2276,1020,2,3,1
235395,18090,1208,1304,2276,1111,2,4,0
76112,1011730,267,1364,2276,1110,2,6,0
118255,956327,602,1200,2276,605,2,7,2
190023,467051,1208,1719,2276,1105,2,4,0
8015,675408,267,422,2276,524,2,5,0
8015,675408,267,422,2276,524,2,5,0
8015,915383,267,422,2276,524,2,5,0
19498,414007,602,1719,2276,518,2,6,0
133003,38250,1208,1719,2276,1105,2,4,1
133003,195714,1213,1200,2276,1018,2,4,1
133003,588327,1213,1200,2276,1018,2,4,1
133003,718528,267,1200,2276,1018,2,4,1
133003,1029992,267,1200,2276,1018,2,4,1
133003,590204,267,1200,2276,1018,2,4,1
190847,625439,1208,4079,2276,1029,2,5,0
279588,709909,1208,4356,2276,730,2,5,0
279588,888618,1208,4356,2276,730,2,5,0
133545,847203,1401,3065,2276,906,2,6,1
133545,1027885,351,2551,2276,722,2,6,1
98600,468829,1213,3779,2276,1106,2,6,0
25431,293244,1401,3552,2276,1111,2,3,0
25431,477655,1401,3552,2276,1111,2,3,0
25431,293244,1401,3552,2276,1111,2,3,0
255438,43237,1611,3521,2276,1020,2,6,1
255438,606985,1329,3521,2276,1020,2,6,1
97282,935222,464,1311,2276,1008,2,5,0
262574,1029992,267,1200,2276,717,2,3,1
262574,590204,267,1200,2276,717,2,3,1
262574,74158,267,1200,2276,717,2,3,1
262574,718528,267,1200,2276,717,2,3,1
262574,179830,1208,546,2276,1014,2,3,1
262574,81273,1208,4901,2276,1014,2,3,1
262574,1039919,1208,1200,2276,1014,2,3,1
262574,74158,267,1200,2276,715,2,3,1
262574,718528,267,1200,2276,715,2,3,1
262574,1029992,267,1200,2276,715,2,3,1
262574,590204,267,1200,2276,715,2,3,1
262574,718528,267,1200,2276,716,2,3,1
262574,590204,267,1200,2276,716,2,3,1
262574,1029992,267,1200,2276,716,2,3,1
262574,74158,267,1200,2276,716,2,3,1
262574,526817,1208,4144,2276,1016,2,3,1
262574,1039919,1208,1200,2276,1016,2,3,1
262574,718528,267,1200,2276,712,2,3,1
262574,74158,267,1200,2276,712,2,3,1
